	Mon Dec 11 09:27 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -N3 -RTS

	total time  =       10.82 secs   (32471 ticks @ 1000 us, 3 processors)
	total alloc = 76,826,704,944 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   27.7   25.9
calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,87)    24.6   14.7
separateFronts               NeuralNet NeuralNet.hs:218:1-40            17.8   31.2
averageHelper                NeuralNet NeuralNet.hs:(265,1)-(266,73)    16.0   16.1
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    5.5    3.7
main                         Main      profilingTest.hs:(2,1)-(6,88)     2.4    3.6
readPrec                     NeuralNet NeuralNet.hs:8:87-90              2.4    1.9
showsPrec                    NeuralNet NeuralNet.hs:17:56-59             0.9    1.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

             activateNue.sigVal        NeuralNet               NeuralNet.hs:193:49-74         384        200    0.0    0.0     0.0    0.0
             activateNue.z             NeuralNet               NeuralNet.hs:192:49-88         385        200    0.0    0.0     0.0    0.0
              calculateZ               NeuralNet               NeuralNet.hs:(210,1)-(211,87)  386      25600    0.0    0.0     0.0    0.0
     average3d                         NeuralNet               NeuralNet.hs:(245,1)-(247,38)  307         80    0.0    0.0    31.5   44.0
      average2d                        NeuralNet               NeuralNet.hs:(251,1)-(253,38)  341       5380    0.0    0.0    31.5   44.0
       average1d                       NeuralNet               NeuralNet.hs:(257,1)-(259,38)  353    2370960    0.7    0.4    31.4   43.9
        average                        NeuralNet               NeuralNet.hs:262:1-31          360    2365640    0.1    0.1    16.1   16.2
         averageHelper                 NeuralNet               NeuralNet.hs:(265,1)-(266,73)  361  120647640   16.0   16.1    16.0   16.1
        average1d.z                    NeuralNet               NeuralNet.hs:259:19-38         357    2365640    0.2    0.2    14.6   27.3
         separateFronts                NeuralNet               NeuralNet.hs:218:1-40          358    2365640   14.4   27.1    14.4   27.1
       average2d.z                     NeuralNet               NeuralNet.hs:253:19-38         354       5320    0.0    0.0     0.1    0.1
        separateFronts                 NeuralNet               NeuralNet.hs:218:1-40          355       5320    0.1    0.1     0.1    0.1
      average3d.z                      NeuralNet               NeuralNet.hs:247:19-38         333         60    0.0    0.0     0.0    0.0
       separateFronts                  NeuralNet               NeuralNet.hs:218:1-40          334         60    0.0    0.0     0.0    0.0
     updateLay                         NeuralNet               NeuralNet.hs:95:1-93           336         60    0.0    0.0     1.2    0.5
      updateNeu                        NeuralNet               NeuralNet.hs:(98,1)-(99,131)   351       5320    0.0    0.0     1.2    0.5
       updateNeu.attributes            NeuralNet               NeuralNet.hs:99:60-131         352       5320    0.4    0.3     1.1    0.5
        updateAttribute                NeuralNet               NeuralNet.hs:102:1-81          359    2365640    0.7    0.2     0.7    0.2
     mapReverse                        NeuralNet               NeuralNet.hs:(294,1)-(295,51)  331         20    0.0    0.0     0.0    0.0
      mapReverseHelper                 NeuralNet               NeuralNet.hs:(298,1)-(299,66)  332         60    0.0    0.0     0.0    0.0
       getLayerWeights                 NeuralNet               NeuralNet.hs:29:1-52           366         40    0.0    0.0     0.0    0.0
        getNeuronWeights               NeuralNet               NeuralNet.hs:19:1-35           372       2760    0.0    0.0     0.0    0.0
   train.splitInputs                   NeuralNet               NeuralNet.hs:77:54-90          298          1    0.0    0.0     0.0    0.0
    splitInto                          NeuralNet               NeuralNet.hs:271:1-60          299          1    0.0    0.0     0.0    0.0
     splitIntoHelper                   NeuralNet               NeuralNet.hs:(274,1)-(276,101) 300        550    0.0    0.0     0.0    0.0
     blankList                         NeuralNet               NeuralNet.hs:(280,1)-(281,34)  301         11    0.0    0.0     0.0    0.0
   train.splitOutputs                  NeuralNet               NeuralNet.hs:78:54-92          302          1    0.0    0.0     0.0    0.0
    splitInto                          NeuralNet               NeuralNet.hs:271:1-60          303          1    0.0    0.0     0.0    0.0
     splitIntoHelper                   NeuralNet               NeuralNet.hs:(274,1)-(276,101) 304        550    0.0    0.0     0.0    0.0
     blankList                         NeuralNet               NeuralNet.hs:(280,1)-(281,34)  305         11    0.0    0.0     0.0    0.0
  readListPrec                         NeuralNet               NeuralNet.hs:27:54-57          315          0    0.0    0.0     2.4    1.9
   readPrec                            NeuralNet               NeuralNet.hs:27:54-57          318          0    0.0    0.0     2.4    1.9
    readPrec                           NeuralNet               NeuralNet.hs:23:82-85          320          0    0.0    0.0     2.4    1.9
     readListPrec                      NeuralNet               NeuralNet.hs:17:62-65          324          0    0.0    0.0     2.4    1.9
      readPrec                         NeuralNet               NeuralNet.hs:17:62-65          327          0    0.0    0.0     2.4    1.9
       readPrec                        NeuralNet               NeuralNet.hs:8:87-90           329          0    2.4    1.9     2.4    1.9
  showList                             NeuralNet               NeuralNet.hs:27:48-51          295          0    0.0    0.0     0.9    1.4
   showsPrec                           NeuralNet               NeuralNet.hs:27:48-51          335          3    0.0    0.0     0.9    1.4
    showsPrec                          NeuralNet               NeuralNet.hs:23:76-79          337          3    0.0    0.0     0.0    0.0
    showList                           NeuralNet               NeuralNet.hs:17:56-59          340          0    0.0    0.0     0.9    1.4
     showsPrec                         NeuralNet               NeuralNet.hs:17:56-59          408        266    0.9    1.4     0.9    1.4
      showsPrec                        NeuralNet               NeuralNet.hs:8:81-84           409        266    0.0    0.0     0.0    0.0
