	Mon Dec 11 14:25 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -ls -N4 -RTS

	total time  =       37.61 secs   (150435 ticks @ 1000 us, 4 processors)
	total alloc = 362,913,097,464 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

calculateZ                   NeuralNet NeuralNet.hs:(213,1)-(214,87)    27.6   15.6
derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(164,1)-(165,144)   25.5   27.4
separateFronts               NeuralNet NeuralNet.hs:221:1-40            18.9   33.0
averageHelper                NeuralNet NeuralNet.hs:(269,1)-(270,73)    18.0   17.0
derivateNeuronActivation     NeuralNet NeuralNet.hs:(159,1)-(160,141)    6.0    3.9


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

           activateNuesRegular         NeuralNet               NeuralNet.hs:(188,1)-(189,110) 381       1100    0.0    0.0     0.0    0.0
            activateNue                NeuralNet               NeuralNet.hs:(193,1)-(205,93)  382       1000    0.0    0.0     0.0    0.0
             activateNue.sigVal        NeuralNet               NeuralNet.hs:196:49-74         386       1000    0.0    0.0     0.0    0.0
             activateNue.z             NeuralNet               NeuralNet.hs:195:49-88         387       1000    0.0    0.0     0.0    0.0
              calculateZ               NeuralNet               NeuralNet.hs:(213,1)-(214,87)  388     128000    0.0    0.0     0.0    0.0
     average3d                         NeuralNet               NeuralNet.hs:(249,1)-(251,38)  309        400    0.0    0.0    34.3   46.5
      average2d                        NeuralNet               NeuralNet.hs:(255,1)-(257,38)  343      26900    0.0    0.0    34.3   46.5
       average1d                       NeuralNet               NeuralNet.hs:(261,1)-(263,38)  355   11854800    0.8    0.5    34.2   46.5
        average                        NeuralNet               NeuralNet.hs:266:1-31          362   11828200    0.1    0.1    18.0   17.1
         averageHelper                 NeuralNet               NeuralNet.hs:(269,1)-(270,73)  363  603238200   18.0   17.0    18.0   17.0
        average1d.z                    NeuralNet               NeuralNet.hs:263:19-38         359   11828200    0.2    0.2    15.4   28.9
         separateFronts                NeuralNet               NeuralNet.hs:221:1-40          360   11828200   15.2   28.6    15.2   28.6
       average2d.z                     NeuralNet               NeuralNet.hs:257:19-38         356      26600    0.0    0.0     0.1    0.1
        separateFronts                 NeuralNet               NeuralNet.hs:221:1-40          357      26600    0.1    0.1     0.1    0.1
      average3d.z                      NeuralNet               NeuralNet.hs:251:19-38         335        300    0.0    0.0     0.0    0.0
       separateFronts                  NeuralNet               NeuralNet.hs:221:1-40          336        300    0.0    0.0     0.0    0.0
     updateLay                         NeuralNet               NeuralNet.hs:98:1-93           338        300    0.0    0.0     1.1    0.5
      updateNeu                        NeuralNet               NeuralNet.hs:(101,1)-(102,131) 353      26600    0.0    0.0     1.1    0.5
       updateNeu.attributes            NeuralNet               NeuralNet.hs:102:60-131        354      26600    0.4    0.3     1.1    0.5
        updateAttribute                NeuralNet               NeuralNet.hs:105:1-81          361   11828200    0.7    0.2     0.7    0.2
     mapReverse                        NeuralNet               NeuralNet.hs:(298,1)-(299,51)  333        100    0.0    0.0     0.0    0.0
      mapReverseHelper                 NeuralNet               NeuralNet.hs:(302,1)-(303,66)  334        300    0.0    0.0     0.0    0.0
       getLayerWeights                 NeuralNet               NeuralNet.hs:30:1-52           368        200    0.0    0.0     0.0    0.0
        getNeuronWeights               NeuralNet               NeuralNet.hs:20:1-35           374      13800    0.0    0.0     0.0    0.0
   train.splitInputs                   NeuralNet               NeuralNet.hs:78:54-90          300          1    0.0    0.0     0.0    0.0
    splitInto                          NeuralNet               NeuralNet.hs:275:1-60          301          1    0.0    0.0     0.0    0.0
     splitIntoHelper                   NeuralNet               NeuralNet.hs:(278,1)-(280,101) 302        550    0.0    0.0     0.0    0.0
     blankList                         NeuralNet               NeuralNet.hs:(284,1)-(285,34)  303         11    0.0    0.0     0.0    0.0
   train.splitOutputs                  NeuralNet               NeuralNet.hs:79:54-92          304          1    0.0    0.0     0.0    0.0
    splitInto                          NeuralNet               NeuralNet.hs:275:1-60          305          1    0.0    0.0     0.0    0.0
     splitIntoHelper                   NeuralNet               NeuralNet.hs:(278,1)-(280,101) 306        550    0.0    0.0     0.0    0.0
     blankList                         NeuralNet               NeuralNet.hs:(284,1)-(285,34)  307         11    0.0    0.0     0.0    0.0
  readListPrec                         NeuralNet               NeuralNet.hs:28:54-57          317          0    0.0    0.0     0.5    0.4
   readPrec                            NeuralNet               NeuralNet.hs:28:54-57          320          0    0.0    0.0     0.5    0.4
    readPrec                           NeuralNet               NeuralNet.hs:24:82-85          322          0    0.0    0.0     0.5    0.4
     readListPrec                      NeuralNet               NeuralNet.hs:18:62-65          326          0    0.0    0.0     0.5    0.4
      readPrec                         NeuralNet               NeuralNet.hs:18:62-65          329          0    0.0    0.0     0.5    0.4
       readPrec                        NeuralNet               NeuralNet.hs:9:87-90           331          0    0.5    0.4     0.5    0.4
  showList                             NeuralNet               NeuralNet.hs:28:48-51          297          0    0.0    0.0     0.3    0.3
   showsPrec                           NeuralNet               NeuralNet.hs:28:48-51          337          3    0.0    0.0     0.3    0.3
    showsPrec                          NeuralNet               NeuralNet.hs:24:76-79          339          3    0.0    0.0     0.0    0.0
    showList                           NeuralNet               NeuralNet.hs:18:56-59          342          0    0.0    0.0     0.3    0.3
     showsPrec                         NeuralNet               NeuralNet.hs:18:56-59          410        266    0.3    0.3     0.3    0.3
      showsPrec                        NeuralNet               NeuralNet.hs:9:81-84           411        266    0.0    0.0     0.0    0.0
