	Tue Dec  5 18:42 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -RTS

	total time  =      833.48 secs   (833479 ticks @ 1000 us, 1 processor)
	total alloc = 1,818,976,847,608 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,87)    28.6   15.5
derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   22.7   27.3
averageHelper                NeuralNet NeuralNet.hs:(262,1)-(263,73)    19.3   17.0
separateFronts               NeuralNet NeuralNet.hs:215:1-40            18.9   32.9
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    6.8    3.9
updateAttribute              NeuralNet NeuralNet.hs:102:1-81             1.2    0.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

     average3d                         NeuralNet               NeuralNet.hs:(242,1)-(244,38)  307       4000    0.0    0.0    36.0   47.3
      average2d                        NeuralNet               NeuralNet.hs:(248,1)-(250,38)  341     269000    0.0    0.0    36.0   47.3
       average1d                       NeuralNet               NeuralNet.hs:(254,1)-(256,38)  353  118548000    0.8    0.9    35.9   47.2
        average                        NeuralNet               NeuralNet.hs:259:1-31          358  118282000    0.1    0.2    19.4   17.2
         averageHelper                 NeuralNet               NeuralNet.hs:(262,1)-(263,73)  359 3075332000   19.3   17.0    19.3   17.0
        average1d.z                    NeuralNet               NeuralNet.hs:256:19-38         360  118282000    0.3    0.5    15.7   29.0
         separateFronts                NeuralNet               NeuralNet.hs:215:1-40          361  118282000   15.4   28.6    15.4   28.6
       average2d.z                     NeuralNet               NeuralNet.hs:250:19-38         354     266000    0.0    0.0     0.1    0.1
        separateFronts                 NeuralNet               NeuralNet.hs:215:1-40          355     266000    0.1    0.1     0.1    0.1
      average3d.z                      NeuralNet               NeuralNet.hs:244:19-38         333       3000    0.0    0.0     0.0    0.0
       separateFronts                  NeuralNet               NeuralNet.hs:215:1-40          334       3000    0.0    0.0     0.0    0.0
     updateLay                         NeuralNet               NeuralNet.hs:95:1-93           336       3000    0.0    0.0     1.8    1.1
      updateNeu                        NeuralNet               NeuralNet.hs:(98,1)-(99,131)   351     266000    0.0    0.0     1.8    1.1
       updateNeu.attributes            NeuralNet               NeuralNet.hs:99:60-131         352     266000    0.6    0.7     1.8    1.1
        updateAttribute                NeuralNet               NeuralNet.hs:102:1-81          357  118282000    1.2    0.4     1.2    0.4
     mapReverse                        NeuralNet               NeuralNet.hs:(291,1)-(292,51)  331       1000    0.0    0.0     0.0    0.0
